LGA,Average Exposure Risk Score,Average Socio-economic Vulnerability Score,Average Communications Access Risk Score,Average Health Facilities Access Risk Score,Average Comorbidities Risk Score,Average Total Risk Score
Agege,3.935860614,1,1,1.266802147,5,10.20266276
Ajeromi/Ifelodun,4,1,1,1.886460176,5,10.88646018
Alimosho,3.979068392,1.000141149,1,1.431676565,5,10.41074496
Amuwo Odofin,4,1.115482237,1.014059642,1.459723867,5,10.45972387
Apapa,4,1.067196475,1,1.835617984,5,10.83561798
Badagry,3.999304407,2.191051684,1.039468414,1.836981151,4.988196059,10.82448162
Epe,3.679565063,2.982879175,1.300181054,2.369290183,4.82719167,10.87604692
Eti Osa,3.971137616,1.11926364,1,1.228090667,5,10.19922828
Ibeju Lekki,3.889715198,3.012432085,1.242239485,2.506369612,4.880592594,11.2766774
Ifako/Ijaye,3.826172,1,1,1.420777319,5,10.24694932
Ikeja,4,1,1,1.727282744,5,10.72728274
Ikorodu,3.998828708,1.290629047,1.003409061,1.915321941,4.998066098,10.91221675
Kosofe,4,1.039205225,1.002843072,1.285297325,5,10.28529733
Lagos Island,4,1.107578813,1.013312327,1.665921881,5,10.66592188
Lagos Mainland,4,1,1,1.344826788,5,10.34482679
Mushin,4,1,1,2.089999568,5,11.08999957
Ojo,4,1.146692275,1.035357125,1.796398156,5,10.79639816
Oshodi/Isolo,4,1,1,1.475349233,5,10.47534923
Shomolu,4,1,1,1.371168007,5,10.37116801
Surulere,4,1,1,1.951859318,5,10.95185932
Afijio,3.243529381,3.041525283,1.106240892,2.214937289,4.615321132,10.0737878
Akinyele,3.852341376,1.732428648,1.000498363,2.405548727,4.939045226,11.19693533
Atiba,3.350317753,3.8375423,1.658304171,2.814676033,4.207486973,10.37248076
Atisbo,3.257006099,4.074091467,1.504746355,3.269647444,3.980985536,10.50763908
Egbeda,3.99566194,1.542876849,1.000649705,1.711644618,4.995947336,10.70325389
Ibadan North,3.895252547,1.027483445,1,2.2726654,5,11.16791795
Ibadan North East,4,1.018461446,1,1.916833271,5,10.91683327
Ibadan North West,4,1.185041831,1,2.689902305,5,11.68990231
Ibadan South East,4,1.060091771,1,1.962817489,5,10.96281749
Ibadan South West,3.956468436,1.00218194,1,2.462595695,5,11.41906413
Ibarapa Central,3.417086542,3.881435787,1.155232378,2.631125162,4.764246345,10.81245805
