Sub-county,Average Exposure Risk Score,Average Socio-economic Vulnerability Score,Percentage of the Population with Limited Communications Access,Average Health Facilities Access Risk Score,Average Comorbidities Risk Score,Average Total Risk Score
Runyenjes,1.5454708,2.476005144,0.076227688,1.352813619,4.931110201,7.829394621
Mandera South,4.504972205,5,0.707159204,4.858414778,1.914457003,11.27784399
Tinderet,1.760421733,3.769860478,0.130338825,3.682658182,4.062615483,9.505695397
Limuru,2.190428713,1.473149319,0.040501684,1.038278883,4.91575378,8.144461376
Kibwezi East,1.705991488,3.18497909,0.135841857,2.165108249,3.762820132,7.633919869
Kisauni,2.91186042,1.605378192,0.09435541,1.817821622,4.979984503,9.709666545
Kwanza,2.320090068,3.175155015,0.081822561,3.42000465,4.592759708,10.33285443
Mandera East,3.139424493,4.066327765,0.395588682,2.356587297,3.71963086,9.21564265
Tharaka South,1.349775217,3.830932043,0.212926816,2.020565619,3.519366506,6.889707342
Mt Elgon,2.562800789,3.331634755,0.146634171,1.877280906,4.868350341,9.308432035
Nyamira,2.680004893,2.83862823,0.130562732,2.170532377,4.989531623,9.840068893
Chuka,1.673284981,2.211077265,0.054879241,1.487947428,4.980308931,8.14154134
Masinga,1.463185601,3.173019611,0.135740179,2.138307088,3.652787988,7.254280677
Garsen,1.804323394,4.76233986,0.282019437,2.670933571,3.070690361,7.545947326
Muranga South,1.455586511,2.470686264,0.065500166,2.357788939,4.902280326,8.715655776
Tigania East,2.067377286,3.138041711,0.139824006,2.663786941,4.662549993,9.39371422
Kajiado Central,2.187533333,4.052333379,0.238474487,3.040979987,3.495197553,8.723710874
Bobasi,2.522233756,2.959375965,0.186457907,1.95574539,4.98245885,9.460437996
Lamu West,1.197815521,3.677512995,0.193381398,2.539534325,4.195437198,7.932787044
Turkana South,3.161258054,4.974733708,0.719917931,4.639953075,1.446666914,9.247878042
Muhoroni,2.05253145,3.462717894,0.090071347,2.042561108,4.062212358,8.157304915
Kuria East,2.442901576,3.98017937,0.200730274,1.657323977,4.133102536,8.233328089
Narok West,1.911199911,4.340736668,0.189671505,2.806959564,3.877304486,8.59546396
Kaloleni,2.450573218,3.562653461,0.277634313,1.953712418,4.40631519,8.810600826
Embakasi East,2.975457497,1.012134852,0.0362206,3.415388055,4.99989365,11.3907392
Balambala,4.753669201,5,0.656084501,4.75287553,1.43735731,10.94390204
Kangema,1.14990528,2.214324946,0.055218934,2.464072051,5,8.613977331
Gatundu South,1.806801572,1.967311588,0.032447216,1.549674216,4.998607376,8.355083164
Tigania West,1.881576799,2.866168584,0.093307469,1.246340387,4.761383904,7.889301089
Kitui Central,1.773332364,2.675828797,0.134369403,2.016611563,4.376555356,8.166499283
Garissa,3.199805297,2.698223131,0.216922343,4.001548206,4.535830402,11.7371839
Sirisia,2.632264099,3.870896349,0.135653162,1.528176164,4.702597108,8.863037371
Vihiga,2.951658743,2.949529149,0.05190542,2.735318226,4.999057203,10.68603417
Kiambaa,2.873843256,1.067286233,0.033079615,1.977051884,5,9.850895141
Malava,2.337991626,3.75066583,0.108236893,2.801935875,4.743286872,9.883214373
Mathioya,1.104732733,2.217120991,0.043904146,1.696280387,5,7.80101312
Saku,2.303041183,4.633959279,0.391591981,2.042073764,2.092372643,6.43748759
Mwatate,1.624552966,3.197451707,0.112235164,2.190306447,4.384772289,8.199631701
Cherangany,1.920815044,3.172749528,0.083892795,2.444838541,4.625734233,8.991387818
Kirinyaga North/Mwea West,1.672628756,2.728916251,0.081162412,1.871915756,4.944304233,8.488848744
Suna West,2.055980026,3.944547654,0.13726518,1.953426929,3.646163245,7.6555702
Rongo,2.387296293,3.185063436,0.103072433,1.772241189,4.373460047,8.532997529
Ruiru,2.843428498,1.084234087,0.018277293,2.206619678,4.965289649,10.01533783
Turbo,2.535696771,2.276256891,0.062183814,1.83053045,4.61341862,8.97964584
Matuga,1.788183922,3.804349038,0.260147314,2.067621164,3.877778116,7.733583202
Baringo North,2.016799576,4.257653204,0.211325108,2.697716299,2.868397633,7.582913508
Ganze,2.247263151,4.560654261,0.402775569,3.296441773,3.044738014,8.588442937
Machakos,1.862031208,2.068718274,0.068015125,1.267036954,4.563609931,7.692678092
Manyatta,1.852109048,1.961976682,0.05106017,1.358621389,4.998406125,8.209136561
Loitokitok,1.967203918,3.764081531,0.204281745,1.457071975,3.570700167,6.99497606
Ijara,4.136337038,4.890221695,0.509687715,4.724856171,2.155977019,11.01717023
Homa Bay Town,2.412847584,2.734962677,0.091734942,2.267218912,4.491914044,9.17198054
